Baseline Price: 235000.0
----------------------------------------
Feature: Neighborhood              | Changed 'SawyerW' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Overall Quality           | Changed '7' -> '0' | New Price: 185000.0 | Impact: 50000.0
Feature: Overall Condition         | Changed '5' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Year Built                | Changed '2001' -> '20' | New Price: 235000.0 | Impact: 0.0
Feature: Year Remodeled/Added      | Changed '2001' -> '20' | New Price: 235000.0 | Impact: 0.0
Feature: Exterior Quality          | Changed 'Gd' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Exterior Condition        | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Height Quality   | Changed 'Gd' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Condition        | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Finished Area 1 (sqft) | Changed '20' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Total Basement Area (sqft) | Changed '1454' -> '15' | New Price: 235000.0 | Impact: 0.0
Feature: Heating Quality           | Changed 'Ex' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Central Air Conditioning  | Changed 'Y' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: First Floor Area (sqft)   | Changed '1434' -> '14' | New Price: 235000.0 | Impact: 0.0
Feature: Above Ground Living Area (sqft) | Changed '1434' -> '14' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Full Bathrooms   | Changed '0' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Full Bathrooms            | Changed '2' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Bedrooms Above Ground     | Changed '3' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Kitchen Quality           | Changed 'Gd' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Garage Type               | Changed 'Attchd' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Garage Capacity (Cars)    | Changed '2' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Garage Area (sqft)        | Changed '527' -> '5' | New Price: 235000.0 | Impact: 0.0
