Baseline Price: 235000.0
----------------------------------------
Feature: Neighborhood              | Changed 'ClearCr' -> 'Not Available' | New Price: 225000.0 | Impact: 10000.0
Feature: Overall Quality           | Changed '7' -> '0' | New Price: 185000.0 | Impact: 50000.0
Feature: Overall Condition         | Changed '5' -> '0' | New Price: 225000.0 | Impact: 10000.0
Feature: Year Built                | Changed '1980' -> '20' | New Price: 225000.0 | Impact: 10000.0
Feature: Year Remodeled/Added      | Changed '1981' -> '20' | New Price: 235000.0 | Impact: 0.0
Feature: Exterior Quality          | Changed 'Gd' -> 'Not Available' | New Price: 225000.0 | Impact: 10000.0
Feature: Exterior Condition        | Changed 'TA' -> 'Not Available' | New Price: 225000.0 | Impact: 10000.0
Feature: Basement Height Quality   | Changed 'Gd' -> 'Not Available' | New Price: 225000.0 | Impact: 10000.0
Feature: Basement Condition        | Changed 'TA' -> 'Not Available' | New Price: 225000.0 | Impact: 10000.0
Feature: Basement Finished Area 1 (sqft) | Changed '397' -> '4' | New Price: 225000.0 | Impact: 10000.0
Feature: Total Basement Area (sqft) | Changed '430' -> '4' | New Price: 225000.0 | Impact: 10000.0
Feature: Heating Quality           | Changed 'TA' -> 'Not Available' | New Price: 225000.0 | Impact: 10000.0
Feature: Central Air Conditioning  | Changed 'Y' -> 'Not Available' | New Price: 225000.0 | Impact: 10000.0
Feature: First Floor Area (sqft)   | Changed '880' -> '9' | New Price: 225000.0 | Impact: 10000.0
Feature: Above Ground Living Area (sqft) | Changed '1700' -> '17' | New Price: 225000.0 | Impact: 10000.0
Feature: Basement Full Bathrooms   | Changed '1' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Full Bathrooms            | Changed '2' -> '0' | New Price: 225000.0 | Impact: 10000.0
Feature: Bedrooms Above Ground     | Changed '2' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Kitchen Quality           | Changed 'Gd' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Garage Type               | Changed 'Basment' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Garage Capacity (Cars)    | Changed '1' -> '0' | New Price: 225000.0 | Impact: 10000.0
Feature: Garage Area (sqft)        | Changed '450' -> '4' | New Price: 225000.0 | Impact: 10000.0
