Baseline Price: 245000.0
----------------------------------------
Feature: Neighborhood              | Changed 'CollgCr' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Overall Quality           | Changed '6' -> '0' | New Price: 215000.0 | Impact: 30000.0
Feature: Overall Condition         | Changed '6' -> '0' | New Price: 245000.0 | Impact: 0.0
Feature: Year Built                | Changed '1978' -> '20' | New Price: 245000.0 | Impact: 0.0
Feature: Year Remodeled/Added      | Changed '1978' -> '20' | New Price: 245000.0 | Impact: 0.0
Feature: Exterior Quality          | Changed 'TA' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Exterior Condition        | Changed 'TA' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Basement Height Quality   | Changed 'TA' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Basement Condition        | Changed 'Gd' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Basement Finished Area 1 (sqft) | Changed '595' -> '6' | New Price: 245000.0 | Impact: 0.0
Feature: Total Basement Area (sqft) | Changed '995' -> '10' | New Price: 245000.0 | Impact: 0.0
Feature: Heating Quality           | Changed 'TA' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Central Air Conditioning  | Changed 'Y' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: First Floor Area (sqft)   | Changed '1282' -> '13' | New Price: 245000.0 | Impact: 0.0
Feature: Above Ground Living Area (sqft) | Changed '1282' -> '13' | New Price: 245000.0 | Impact: 0.0
Feature: Basement Full Bathrooms   | Changed '0' -> '0' | New Price: 245000.0 | Impact: 0.0
Feature: Full Bathrooms            | Changed '2' -> '0' | New Price: 245000.0 | Impact: 0.0
Feature: Bedrooms Above Ground     | Changed '3' -> '0' | New Price: 245000.0 | Impact: 0.0
Feature: Kitchen Quality           | Changed 'TA' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Garage Type               | Changed 'Detchd' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Garage Capacity (Cars)    | Changed '3' -> '0' | New Price: 245000.0 | Impact: 0.0
Feature: Garage Area (sqft)        | Changed '672' -> '7' | New Price: 245000.0 | Impact: 0.0
