Baseline Price: 245000.0
----------------------------------------
Feature: Neighborhood              | Changed 'Crawfor' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Overall Quality           | Changed '8' -> '0' | New Price: 235000.0 | Impact: 10000.0
Feature: Overall Condition         | Changed '5' -> '0' | New Price: 245000.0 | Impact: 0.0
Feature: Year Built                | Changed '2007' -> '20' | New Price: 245000.0 | Impact: 0.0
Feature: Year Remodeled/Added      | Changed '2008' -> '20' | New Price: 245000.0 | Impact: 0.0
Feature: Exterior Quality          | Changed 'Ex' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Exterior Condition        | Changed 'TA' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Basement Height Quality   | Changed 'Ex' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Basement Condition        | Changed 'TA' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Basement Finished Area 1 (sqft) | Changed '1476' -> '15' | New Price: 245000.0 | Impact: 0.0
Feature: Total Basement Area (sqft) | Changed '1596' -> '16' | New Price: 245000.0 | Impact: 0.0
Feature: Heating Quality           | Changed 'Ex' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Central Air Conditioning  | Changed 'Y' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: First Floor Area (sqft)   | Changed '1648' -> '16' | New Price: 245000.0 | Impact: 0.0
Feature: Above Ground Living Area (sqft) | Changed '1648' -> '16' | New Price: 245000.0 | Impact: 0.0
Feature: Basement Full Bathrooms   | Changed '1' -> '0' | New Price: 245000.0 | Impact: 0.0
Feature: Full Bathrooms            | Changed '2' -> '0' | New Price: 245000.0 | Impact: 0.0
Feature: Bedrooms Above Ground     | Changed '2' -> '0' | New Price: 245000.0 | Impact: 0.0
Feature: Kitchen Quality           | Changed 'Ex' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Garage Type               | Changed 'Attchd' -> 'Not Available' | New Price: 245000.0 | Impact: 0.0
Feature: Garage Capacity (Cars)    | Changed '2' -> '0' | New Price: 245000.0 | Impact: 0.0
Feature: Garage Area (sqft)        | Changed '482' -> '5' | New Price: 245000.0 | Impact: 0.0
