Baseline Price: 165000.0
----------------------------------------
Feature: Neighborhood              | Changed 'MeadowV' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Overall Quality           | Changed '4' -> '0' | New Price: 165000.0 | Impact: 0.0
Feature: Overall Condition         | Changed '6' -> '0' | New Price: 165000.0 | Impact: 0.0
Feature: Year Built                | Changed '1970' -> '20' | New Price: 165000.0 | Impact: 0.0
Feature: Year Remodeled/Added      | Changed '1970' -> '20' | New Price: 165000.0 | Impact: 0.0
Feature: Exterior Quality          | Changed 'TA' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Exterior Condition        | Changed 'TA' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Basement Height Quality   | Changed 'Gd' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Basement Condition        | Changed 'TA' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Basement Finished Area 1 (sqft) | Changed '131' -> '1' | New Price: 165000.0 | Impact: 0.0
Feature: Total Basement Area (sqft) | Changed '630' -> '6' | New Price: 165000.0 | Impact: 0.0
Feature: Heating Quality           | Changed 'Gd' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Central Air Conditioning  | Changed 'Y' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: First Floor Area (sqft)   | Changed '630' -> '6' | New Price: 165000.0 | Impact: 0.0
Feature: Above Ground Living Area (sqft) | Changed '630' -> '6' | New Price: 165000.0 | Impact: 0.0
Feature: Basement Full Bathrooms   | Changed '1' -> '0' | New Price: 165000.0 | Impact: 0.0
Feature: Full Bathrooms            | Changed '1' -> '0' | New Price: 165000.0 | Impact: 0.0
Feature: Bedrooms Above Ground     | Changed '1' -> '0' | New Price: 165000.0 | Impact: 0.0
Feature: Kitchen Quality           | Changed 'TA' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Garage Type               | Changed 'NA' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Garage Capacity (Cars)    | Changed '0' -> '0' | New Price: 165000.0 | Impact: 0.0
Feature: Garage Area (sqft)        | Changed '0' -> '0' | New Price: 165000.0 | Impact: 0.0
